2025-04-26 14:09:45,730 - INFO - Episode 0, Reward: 7.00, Avg Reward (last 100): 7.00, Epsilon: 1.000, Loss: 0.0000, Steps: 4
2025-04-26 14:09:45,760 - INFO - Episode 1, Reward: 10.00, Avg Reward (last 100): 8.50, Epsilon: 0.999, Loss: 0.0000, Steps: 1
2025-04-26 14:09:45,790 - INFO - Episode 2, Reward: -30.00, Avg Reward (last 100): -4.33, Epsilon: 0.999, Loss: 0.0000, Steps: 14
2025-04-26 14:09:45,823 - INFO - Episode 3, Reward: 11.00, Avg Reward (last 100): -0.50, Epsilon: 0.998, Loss: 0.0000, Steps: 2
2025-04-26 14:09:45,857 - INFO - Episode 4, Reward: 9.00, Avg Reward (last 100): 1.40, Epsilon: 0.998, Loss: 0.0000, Steps: 2
2025-04-26 14:09:45,880 - INFO - Episode 5, Reward: 13.00, Avg Reward (last 100): 3.33, Epsilon: 0.997, Loss: 0.0000, Steps: 4
2025-04-26 14:09:45,900 - INFO - Episode 6, Reward: 9.00, Avg Reward (last 100): 4.14, Epsilon: 0.997, Loss: 0.0000, Steps: 4
2025-04-26 14:09:45,921 - INFO - Episode 7, Reward: -30.00, Avg Reward (last 100): -0.12, Epsilon: 0.996, Loss: 0.0000, Steps: 14
2025-04-26 14:09:45,944 - INFO - Episode 8, Reward: 11.00, Avg Reward (last 100): 1.11, Epsilon: 0.996, Loss: 0.0000, Steps: 1
2025-04-26 14:09:45,966 - INFO - Episode 9, Reward: 11.00, Avg Reward (last 100): 2.10, Epsilon: 0.995, Loss: 0.0000, Steps: 1
2025-04-26 14:09:45,986 - INFO - Episode 10, Reward: -11.00, Avg Reward (last 100): 0.91, Epsilon: 0.995, Loss: 0.0000, Steps: 2
2025-04-26 14:09:46,005 - INFO - Episode 11, Reward: 10.00, Avg Reward (last 100): 1.67, Epsilon: 0.994, Loss: 0.0000, Steps: 1
2025-04-26 14:09:46,025 - INFO - Episode 12, Reward: -1.00, Avg Reward (last 100): 1.46, Epsilon: 0.994, Loss: 0.0000, Steps: 3
2025-04-26 14:09:46,045 - INFO - Episode 13, Reward: -15.00, Avg Reward (last 100): 0.29, Epsilon: 0.993, Loss: 0.0000, Steps: 6
2025-04-26 14:09:46,065 - INFO - Episode 14, Reward: 5.00, Avg Reward (last 100): 0.60, Epsilon: 0.993, Loss: 0.0000, Steps: 3
2025-04-26 14:09:46,172 - INFO - Episode 15, Reward: 7.00, Avg Reward (last 100): 1.00, Epsilon: 0.992, Loss: 18.4786, Steps: 2
2025-04-26 14:09:46,199 - INFO - Episode 16, Reward: 11.00, Avg Reward (last 100): 1.59, Epsilon: 0.992, Loss: 37.8023, Steps: 2
2025-04-26 14:09:46,225 - INFO - Episode 17, Reward: -16.00, Avg Reward (last 100): 0.61, Epsilon: 0.991, Loss: 37.1548, Steps: 3
2025-04-26 14:09:46,250 - INFO - Episode 18, Reward: -15.00, Avg Reward (last 100): -0.21, Epsilon: 0.991, Loss: 36.3892, Steps: 3
2025-04-26 14:09:46,273 - INFO - Episode 19, Reward: -3.00, Avg Reward (last 100): -0.35, Epsilon: 0.990, Loss: 33.4543, Steps: 1
2025-04-26 14:09:46,298 - INFO - Episode 20, Reward: 4.00, Avg Reward (last 100): -0.14, Epsilon: 0.990, Loss: 35.2347, Steps: 3
2025-04-26 14:09:46,324 - INFO - Episode 21, Reward: 11.00, Avg Reward (last 100): 0.36, Epsilon: 0.989, Loss: 34.1352, Steps: 3
2025-04-26 14:09:46,346 - INFO - Episode 22, Reward: 12.00, Avg Reward (last 100): 0.87, Epsilon: 0.989, Loss: 41.1834, Steps: 1
2025-04-26 14:09:46,367 - INFO - Episode 23, Reward: -11.00, Avg Reward (last 100): 0.38, Epsilon: 0.988, Loss: 35.4366, Steps: 2
2025-04-26 14:09:46,387 - INFO - Episode 24, Reward: 10.00, Avg Reward (last 100): 0.76, Epsilon: 0.988, Loss: 37.1258, Steps: 1
2025-04-26 14:09:46,409 - INFO - Episode 25, Reward: 4.00, Avg Reward (last 100): 0.88, Epsilon: 0.987, Loss: 34.8347, Steps: 3
2025-04-26 14:09:46,437 - INFO - Episode 26, Reward: 5.00, Avg Reward (last 100): 1.04, Epsilon: 0.987, Loss: 38.0606, Steps: 8
2025-04-26 14:09:46,458 - INFO - Episode 27, Reward: 12.00, Avg Reward (last 100): 1.43, Epsilon: 0.986, Loss: 35.9959, Steps: 1
2025-04-26 14:09:46,485 - INFO - Episode 28, Reward: -16.00, Avg Reward (last 100): 0.83, Epsilon: 0.986, Loss: 37.0026, Steps: 6
2025-04-26 14:09:46,528 - INFO - Episode 29, Reward: -79.00, Avg Reward (last 100): -1.83, Epsilon: 0.985, Loss: 35.8125, Steps: 23
2025-04-26 14:09:46,550 - INFO - Episode 30, Reward: 6.00, Avg Reward (last 100): -1.58, Epsilon: 0.985, Loss: 40.3288, Steps: 2
2025-04-26 14:09:46,581 - INFO - Episode 31, Reward: 16.00, Avg Reward (last 100): -1.03, Epsilon: 0.984, Loss: 37.7601, Steps: 10
2025-04-26 14:09:46,606 - INFO - Episode 32, Reward: 2.00, Avg Reward (last 100): -0.94, Epsilon: 0.984, Loss: 35.6803, Steps: 4
2025-04-26 14:09:46,631 - INFO - Episode 33, Reward: -13.00, Avg Reward (last 100): -1.29, Epsilon: 0.983, Loss: 36.0707, Steps: 4
2025-04-26 14:09:46,658 - INFO - Episode 34, Reward: -19.00, Avg Reward (last 100): -1.80, Epsilon: 0.983, Loss: 32.9011, Steps: 7
2025-04-26 14:09:46,687 - INFO - Episode 35, Reward: -19.00, Avg Reward (last 100): -2.28, Epsilon: 0.982, Loss: 36.6640, Steps: 8
2025-04-26 14:09:46,716 - INFO - Episode 36, Reward: -20.00, Avg Reward (last 100): -2.76, Epsilon: 0.982, Loss: 31.9013, Steps: 9
2025-04-26 14:09:46,741 - INFO - Episode 37, Reward: 1.00, Avg Reward (last 100): -2.66, Epsilon: 0.981, Loss: 32.9858, Steps: 3
2025-04-26 14:09:46,765 - INFO - Episode 38, Reward: 5.00, Avg Reward (last 100): -2.46, Epsilon: 0.981, Loss: 34.3629, Steps: 3
2025-04-26 14:09:46,789 - INFO - Episode 39, Reward: 2.00, Avg Reward (last 100): -2.35, Epsilon: 0.980, Loss: 39.9810, Steps: 3
2025-04-26 14:09:46,812 - INFO - Episode 40, Reward: 10.00, Avg Reward (last 100): -2.05, Epsilon: 0.980, Loss: 34.7335, Steps: 1
2025-04-26 14:09:46,837 - INFO - Episode 41, Reward: 1.00, Avg Reward (last 100): -1.98, Epsilon: 0.979, Loss: 34.4415, Steps: 3
2025-04-26 14:09:46,859 - INFO - Episode 42, Reward: 1.00, Avg Reward (last 100): -1.91, Epsilon: 0.979, Loss: 39.7475, Steps: 3
2025-04-26 14:09:46,886 - INFO - Episode 43, Reward: 10.00, Avg Reward (last 100): -1.64, Epsilon: 0.978, Loss: 34.9783, Steps: 7
2025-04-26 14:09:46,910 - INFO - Episode 44, Reward: -13.00, Avg Reward (last 100): -1.89, Epsilon: 0.978, Loss: 29.9020, Steps: 4
2025-04-26 14:09:46,936 - INFO - Episode 45, Reward: -1.00, Avg Reward (last 100): -1.87, Epsilon: 0.977, Loss: 29.9355, Steps: 6
2025-04-26 14:09:46,958 - INFO - Episode 46, Reward: 12.00, Avg Reward (last 100): -1.57, Epsilon: 0.977, Loss: 29.1520, Steps: 2
2025-04-26 14:09:46,985 - INFO - Episode 47, Reward: -9.00, Avg Reward (last 100): -1.73, Epsilon: 0.976, Loss: 31.6749, Steps: 8
2025-04-26 14:09:47,011 - INFO - Episode 48, Reward: -6.00, Avg Reward (last 100): -1.82, Epsilon: 0.976, Loss: 31.9837, Steps: 6
2025-04-26 14:09:47,046 - INFO - Episode 49, Reward: -47.00, Avg Reward (last 100): -2.72, Epsilon: 0.975, Loss: 32.8883, Steps: 15
